Postcode,A,B,C,D,E,F,G,H,I,J,K,L,M,N,A01,A02,A03,A04,B05,B06,B07,C08,C09,C10,D11,D12,D13,E14,E15,E16,F17,F18,F19,G20,G21,G22,G23,H24,H25,H26,H27,I28,I29,I30,J31,J32,J33,J34,K35,K36,K37,L38,L39,L40,L41,L42,M43,M44,M45,M46,M47,N48,N49,N50,N51
2135,3835,,,565,38,119,4566,423,,8,90,,110,,1693,,173,1969,,,,,,,1,564,,1,37,,97,,22,8,4558,,,8,,415,,,,,,8,,,87,,3,,,,,,30,,2,78,,,,,
2136,311,94,,1849,80,333,155,708,1,46,20,12,120,,15,,7,289,,94,,,,,1,1848,,,80,,326,,7,,155,,,33,,675,,,1,,,46,,,16,1,3,,1,8,3,,65,,11,44,,,,,
2137,4519,51,2639,1238,84,1036,1320,91,,1,156,44,24,,331,19,502,3667,,51,,2526,,113,3,1235,,,84,,957,,79,7,1313,,,34,,57,,,,,,1,,,144,,12,,,,44,,,,24,,,,,,
2138,1611,126,28,503,41,243,6082,93,,1,34,,1,,35,1,77,1498,75,51,,28,,,,503,,2,39,,225,,18,21,6061,,,7,,86,,,,,,1,,,34,,,,,,,,,,1,,,,,,
2140,365,4,,281,15,51,6390,904,1,11,19,,6,,52,,23,290,,4,,,,,,281,,,15,,51,,,,6390,,,8,,896,,,1,,,11,,,17,,2,,,,,,3,,3,,,,,,
2141,119,142,,1656,230,2,3268,2487,,2725,248,33,1501,,1,,,118,99,43,,,,,,1656,,9,221,,2,,,,3268,,,58,,2429,,,,,,2725,,,158,2,88,,33,,,,1495,,6,,,,,,
2142,11,47,,196,33,48,1936,5163,20,1940,191,1026,1437,,,,2,9,1,46,,,,,2,194,,,33,,38,,10,6,1929,1,,134,,5029,,5,15,,,1940,,,4,1,186,,946,,80,,1374,,41,22,,,,,
2143,6,36,,89,73,108,,609,7,1133,200,115,855,,,,,6,,36,,,,,,89,,3,70,,108,,,,,,,35,,574,,2,5,,,1133,,,92,2,106,,115,,,,847,,8,,,,,,
2144,12,43,,80,63,71,879,5688,5,3243,107,506,1960,,,,,12,13,30,,,,,,80,,,63,,33,,38,,879,,,47,,5641,,1,4,,,3243,,,,5,102,,502,,4,,1929,,30,1,,,,,
2145,120,2509,,3030,902,225,7419,4423,896,9369,300,518,2430,,,,,120,1961,547,1,,,,387,2643,,392,507,3,74,,151,,7414,5,,350,,4073,,164,732,,,9369,,,1,256,43,,518,,,,2152,33,146,99,,,,,
2146,7,455,,618,238,9,154,1472,400,2750,186,177,518,,,,,7,163,292,,,,,250,368,,124,114,,9,,,,154,,,100,,1372,,68,332,,,2750,,,,185,1,,130,,,47,462,9,47,,,,,,
2147,12,487,,318,2298,,,606,1596,4259,315,1033,2337,,,,,12,114,367,6,,,,256,62,,2037,261,,,,,,,,,186,,420,,706,890,,,4258,1,,,296,19,,903,,50,80,1994,117,204,22,,,,,
2148,2,840,,62,306,,741,3531,1218,11477,499,1341,3709,3,,,,2,684,22,134,,,,51,7,4,161,137,8,,,,,732,9,,593,,2935,3,496,722,,,11476,1,,,358,141,,1103,1,76,161,3310,120,150,129,,3,,,
2150,15,61,,723,16,20,11724,4243,,357,83,,246,,,,1,14,,61,,,,,2,721,,,15,1,19,,1,34,11690,,,80,,4163,,,,,,357,,,20,10,53,,,,,,231,1,14,,,,,,
2151,461,500,,1768,997,502,1700,1982,2,144,140,12,518,,1,,,460,,500,,,,,20,1748,,815,181,1,252,,250,407,1293,,,84,,1898,,,2,,,144,,,62,14,64,,12,,,,323,,38,157,,,,,
2152,43,580,,1177,368,467,813,403,19,165,55,1,763,,,,,43,8,572,,,,,78,1099,,276,91,1,309,,158,45,768,,,82,,321,,1,18,,,165,,,4,23,28,,1,,,,235,1,83,444,,,,,
2153,3602,3378,15,3223,6697,1772,1936,412,99,434,336,6,586,,270,37,,3295,1170,2208,,15,,,283,2785,155,6003,693,1,1505,,267,6,1398,532,,85,,327,,3,96,,,434,,,161,52,123,,2,,4,,132,,111,343,,,,,
2154,8299,504,,770,1811,689,1207,54,,47,1773,3,1076,,90,4,8,8197,112,392,,,,,10,760,,1447,364,,565,,124,,1207,,,17,,37,,,,,,47,,,1761,,12,,3,,,,71,,13,992,,,,,
2155,1641,10320,,346,11190,64,1511,1490,19,187,247,336,237,6,5,,,1636,10225,91,4,,,,5,9,332,9006,1833,351,45,19,,142,1305,64,,298,,1192,,5,14,,,187,,,,167,80,,,17,319,,133,1,101,2,,6,,,
2156,2714,23,,,1399,1,,,1,2,1,,276,,196,,,2518,5,18,,,,,,,,384,599,416,1,,,,,,,,,,,,1,,,2,,,,1,,,,,,,,,,276,,,,,
2157,83,74,,12,1102,,,,44,,3,,,90,,,,83,,29,45,,,,12,,,63,211,828,,,,,,,,,,,,3,41,,,,,,,3,,,,,,,,,,,,90,,,
2158,1428,75,,119,1069,68,,33,6,1,50,,183,,350,,1,1077,2,73,,,,,39,79,1,636,307,126,68,,,,,,,33,,,,,6,,,1,,,,21,29,,,,,,5,2,33,143,,,,,
2159,439,122,,27,1065,2,,6,16,,22,1,139,4,16,,,423,,121,1,,,,23,4,,212,267,586,2,,,,,,,6,,,,1,15,,,,,,,22,,,1,,,,,,5,134,,4,,,
2160,23,119,,221,228,35,214,5131,55,5441,11,397,1799,,,,,23,1,118,,,,,1,220,,64,164,,35,,,,214,,,52,,5079,,10,45,,,5441,,,,,11,1,396,,,,1467,,15,317,,,,,
2161,5,44,,20,72,14,2,2750,51,4485,75,1463,1685,,,,,5,,44,,,,,,20,,7,65,,14,,,,2,,,65,,2685,,6,45,,,4485,,,,2,73,,1426,8,29,,1647,,38,,,,,,
2162,3,73,,32,46,7,3,308,45,2559,44,1116,1881,,,,,3,,73,,,,,,32,,5,41,,7,,,,,3,,90,,217,1,7,38,,,2559,,,,2,42,,1015,,101,,1825,1,47,8,,,,,
2163,,9,,4,17,17,45,947,42,222,112,1568,1056,,,,,,,9,,,,,2,2,,3,13,1,10,,7,,45,,,119,,828,,2,40,,,222,,,,4,108,,1145,46,264,113,1018,1,37,,,,,,
2164,9,25,,11,166,1,1,88,98,2889,52,1015,2024,1,,,,9,1,24,,,,,,11,,72,94,,1,,,,,1,,63,,25,,10,88,,,2889,,,,3,49,,892,,123,,2005,1,18,,,1,,,
2165,7,31,,7,145,23,,3439,34,3457,72,2602,4048,,,,,7,1,30,,,,,,6,1,54,91,,23,,,,,,,74,,3363,2,3,31,,,3456,1,,,2,70,,2597,3,2,,4017,,31,,,,,,
2166,61,82,,13,284,9,3,4834,72,5051,104,2211,3934,,,,,61,10,72,,,,,,13,,149,134,1,9,,,,1,2,,71,,4762,1,10,62,,,5051,,,,6,98,,2048,1,162,,3887,,38,9,,,,,
2167,,717,,14,31,,,311,175,1528,200,138,439,,,,,,714,3,,,,,6,8,,8,23,,,,,,,,,158,,153,,35,140,,,1528,,,,48,152,,115,1,,22,329,23,54,33,,,,,
2168,1,11,,,94,,,65,28,6368,4,5900,1524,,,,,1,7,,4,,,,,,,39,55,,,,,,,,,56,,9,,,28,,,6368,,,,4,,,5496,6,394,4,1508,,16,,,,,,
2170,24,3576,,312,1791,18,51,12801,1540,10032,746,5459,5921,,,,,24,3149,184,243,,,,200,112,,1292,494,5,15,2,1,,41,10,,621,,12176,4,246,1294,,,10032,,,1,460,285,,5015,40,404,,5214,106,249,352,,,,,
2171,5,4677,,,1505,,,7,37,4823,15,12,18,,,,,5,4390,,287,,,,,,,1199,304,2,,,,,,,,7,,,,6,31,,,4823,,,,12,3,,11,,,1,16,,2,,,,,,
2172,46,158,,3,684,,,1,1,1,,,1,1,1,,,45,151,7,,,,,3,,,607,77,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,,1,,,
2173,,2936,,22,515,,130,1,264,538,37,43,44,1,,,,,2546,11,379,,,,21,1,,431,84,,,,,,130,,,1,,,,40,224,,,538,,,,37,,,43,,,,43,1,,,,1,,,
2174,2,869,,,147,,41,707,1,2921,4,1,43,,,,,2,869,,,,,,,,,32,112,3,,,,,41,,,16,,691,,1,,,,2921,,,,,4,,1,,,,43,,,,,,,,
2175,,,,,672,,,11,5,2,2,,118,2,,,,,,,,,,,,,,2,89,581,,,,,,,,11,,,,5,,,,2,,,,2,,,,,,,84,16,18,,,2,,,
2176,21,28,,6,1707,,,154,67,9741,28,186,2331,,,,,21,26,2,,,,,4,2,,1329,375,3,,,,,,,,135,,19,,17,50,,,9741,,,,16,12,,186,,,,2238,5,15,73,,,,,
2177,,,,,127,,,63,20,3157,27,1207,604,,,,,,,,,,,,,,,74,53,,,,,,,,,30,,30,3,1,19,,,3157,,,,1,26,,963,,120,124,595,2,6,1,,,,,
2178,23,,,3,1191,,,,,,1,,127,3,5,,,18,,,,,,,,1,2,3,166,1022,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,124,,3,,,
2179,83,3465,,41,4994,5,,384,16,11,2116,40,208,85,1,,22,60,3462,,3,,,,3,34,4,121,190,4683,,5,,,,,,330,,49,5,5,11,,,5,6,,,1849,267,,,40,,,66,11,131,,,85,,,
2190,27,54,,127,206,13,1,490,27,4795,58,640,1578,,,,,27,,53,1,,,,1,126,,,206,,13,,,,,1,,169,,321,,3,24,,,4795,,,,4,54,,355,,285,,1552,1,25,,,,,,
2191,12,57,,940,44,9,,212,1,212,2,2,212,,1,,,11,,57,,,,,,940,,,44,,9,,,,,,,108,,104,,1,,,,212,,,,,2,,2,,,,191,,21,,,,,,
2192,5,48,,980,47,4,54,2715,4,544,35,56,1007,,,,,5,,48,,,,,,980,,,47,,4,,,2,52,,,83,,2632,,1,3,,,544,,,1,5,29,,55,,1,,994,,13,,,,,,
2193,516,142,,2516,51,498,1862,1599,1,19,427,,32,,1,,3,512,,142,,,,,2,2514,,,51,,354,,144,164,1698,,,44,,1555,,,1,,,19,,,416,,11,,,,,,18,,14,,,,,,
2194,20,17,,1259,69,,1061,7314,,208,4,,261,,1,,1,18,,17,,,,,,1259,,,69,,,,,,1061,,,18,,7296,,,,,,208,,,3,,1,,,,,,260,,1,,,,,,
2195,2,34,,58,21,3,4,7334,3,713,8,429,733,,,,,2,,34,,,,,1,57,,,21,,3,,,,4,,,14,,7320,,1,2,,,713,,,,,8,,429,,,,733,,,,,,,,
2196,14,177,,1355,145,8,105,2936,59,4424,16,390,1301,,,,,14,,177,,,,,,1355,,1,144,,8,,,,105,,,207,,2728,1,20,39,,,4424,,,2,10,4,,311,1,78,,1262,3,36,,,,,,
2197,1,20,,10,107,4,,69,55,1651,3,260,806,,,,,1,,20,,,,,,10,,27,80,,4,,,,,,,57,,12,,4,51,,,1651,,,,3,,,260,,,,778,,7,21,,,,,
2198,18,45,,99,167,2,,26,126,1836,15,12,424,,,,,18,,45,,,,,6,93,,62,105,,2,,,,,,,24,,2,,2,124,,,1836,,,,15,,,12,,,,386,3,33,2,,,,,
2199,3,29,,63,67,12,,891,24,2816,16,624,1504,,,,,3,,29,,,,,,63,,3,64,,12,,,,,,,113,,778,,6,18,,,2816,,,,1,15,,520,78,26,,1482,,22,,,,,,
2200,52,140,,382,235,30,281,7851,76,4608,665,316,2150,,1,,1,50,,140,,,,,1,381,,13,222,,30,,,,279,2,,126,,7725,,14,62,,,4608,,,3,12,650,,282,,34,,2067,1,52,30,,,,,
2203,318,27,633,376,1,991,3129,63,,1,1316,,2,,,,27,291,,27,,34,599,,,376,,,1,,704,,287,2787,342,,,1,,62,,,,,,1,,,1316,,,,,,,,1,,1,,,,,,
2204,147,55,2189,1561,12,864,4577,160,,1,2739,141,27,,2,,25,120,,55,,406,1722,61,,1561,,,12,,519,,345,3821,732,24,,7,,153,,,,,,1,,,2725,,14,,,,141,,1,,21,5,,,,,
2205,17,99,,2228,68,61,7284,771,1,260,17,4,44,,,,,17,,99,,,,,1,2227,,,68,,58,,3,1,7283,,,55,,716,,1,,,,260,,,13,,4,,,,4,,36,,8,,,,,,
2206,938,379,,4581,164,379,10,262,1,73,155,,102,,16,,4,918,,379,,,,,5,4576,,,164,,231,,148,10,,,,115,,147,,,1,,,73,,,151,1,3,,,,,,57,1,44,,,,,,
2207,179,481,,5889,263,188,214,1881,1,501,25,,440,,,,2,177,,481,,,,,4,5885,,,263,,169,,19,,214,,,351,,1530,,1,,,,501,,,5,8,12,,,,,,265,,153,22,,,,,
2208,53,257,,3391,135,12,194,308,3,169,19,2,140,,,,,53,,257,,,,,,3391,,,135,,9,,3,,194,,,219,,89,,1,2,,,169,,,3,,16,,2,,,,118,,20,2,,,,,
2209,16,195,,3297,165,22,127,1154,2,358,8,379,234,,,,,16,,195,,,,,2,3295,,1,164,,20,,2,,127,,,131,,1023,,2,,,,358,,,1,1,6,,3,,376,,176,,26,32,,,,,
2210,370,718,,4479,1717,83,989,2130,41,455,85,869,813,,5,,,365,1,717,,,,,37,4442,,1294,422,1,83,,,26,963,,,368,,1762,,8,33,,,455,,,16,38,31,,47,,822,,377,,173,263,,,,,
2211,29,601,,3304,402,81,58,379,95,478,197,1,484,,,,,29,11,590,,,,,62,3241,1,200,202,,32,1,48,3,27,28,,282,,97,,30,65,,,478,,,39,102,56,,1,,,,108,19,140,217,,,,,
2212,24,646,,2104,420,36,,356,122,1121,84,41,513,,,,,24,41,605,,,,,15,2089,,229,191,,21,,15,,,,,223,,133,,33,89,,,1121,,,4,63,17,,37,,4,,385,3,125,,,,,,
2213,130,1368,,2891,1058,21,,346,259,840,192,21,362,,2,,,128,9,1359,,,,,126,2764,1,660,398,,20,,1,,,,,320,,26,,48,211,,,840,,,,184,8,,12,,9,,156,2,204,,,,,,
2214,1,212,,215,148,,,13,425,141,150,,33,,,,,1,,209,3,,,,189,26,,83,64,1,,,,,,,,13,,,,53,372,,,141,,,,146,4,,,,,,5,15,13,,,,,,
2216,175,166,90,3584,111,183,5418,2165,2,164,200,24,116,,12,,6,157,,166,,90,,,4,3580,,1,110,,120,,63,1048,4241,129,,242,,1923,,1,1,,,164,,,157,1,42,,1,,23,,44,1,71,,,,,,
2217,870,261,3,3806,170,183,5161,1802,2,14,127,1,142,,16,,17,837,,261,,3,,,8,3798,,20,150,,170,,13,383,4608,170,,239,,1563,,1,1,,,14,,,103,14,10,,,,1,,8,,134,,,,,,
2218,29,147,,2206,100,25,2137,1599,1,118,21,13,48,,,,1,28,,147,,,,,,2206,,,100,,25,,,,2137,,,54,,1545,,1,,,,118,,,5,,16,,,,13,,31,,10,7,,,,,
2219,761,101,,2832,169,425,655,611,1,1,182,,231,,55,,14,692,,101,,,,,57,2774,1,3,166,,287,,138,495,1,159,,175,,436,,,1,,,1,,,176,1,5,,,,,,2,,218,11,,,,,
2220,506,89,,3090,540,18,7162,1024,1,343,33,33,224,,7,,,499,,89,,,,,1,3089,,15,525,,17,,1,,7112,48,2,72,,952,,1,,,,343,,,5,,28,,,,33,,138,,45,41,,,,,
2221,2297,158,,2076,261,53,168,665,1,103,11,,144,,281,,22,1994,,158,,,,,5,2071,,37,224,,51,,2,90,78,,,101,,564,,1,,,,103,,,10,,1,,,,,,5,,127,12,,,,,
2222,104,143,,1819,91,12,287,2142,1,57,,1,140,,,,,104,,143,,,,,2,1817,,1,90,,12,,,,287,,,56,,2086,,,1,,,57,,,,,,,,,1,,42,1,16,81,,,,,
2223,1525,514,,2553,425,291,1214,1254,,27,116,2,101,,53,1,,1471,4,510,,,,,29,2524,,241,184,,251,,40,104,1110,,,90,,1164,,,,,,27,,,90,2,24,,,,2,,10,,87,4,,,,,
2224,1303,307,1,1850,824,519,160,213,9,2,111,,419,,307,,25,971,,307,,1,,,91,1756,3,558,266,,375,42,102,145,,15,,107,,106,,2,7,,,2,,,71,12,28,,,,,,1,10,114,294,,,,,
2225,490,220,,100,974,18,,1,3,,1,,36,,9,1,,480,2,218,,,,,18,82,,884,90,,18,,,,,,,1,,,,,3,,,,,,,1,,,,,,,,,30,6,,,,,
2226,192,860,,836,1802,280,249,238,38,,102,,93,,,1,,191,3,857,,,,,45,791,,1623,179,,195,,85,206,4,39,,68,,170,,3,35,,,,,,46,13,43,,,,,,,4,64,25,,,,,
2227,787,499,,1349,1403,370,912,150,8,,135,7,109,,13,,,774,1,498,,,,,92,1257,,1202,201,,228,,142,804,97,11,,101,,49,,,8,,,,,,102,14,19,,,,7,,,3,106,,,,,,
2228,921,811,3,2135,691,260,2386,905,18,,361,1,611,,59,,1,861,,811,,3,,,82,2049,4,475,216,,176,,84,1036,956,394,,288,,617,,3,15,,,,,,211,24,126,,,,1,,123,19,238,231,,,,,
2229,3896,913,,2372,777,850,2163,528,20,,370,,957,,321,1,15,3559,38,875,,,,,292,2070,10,424,352,1,461,,389,1709,92,362,,215,,313,,1,19,,,,,,251,33,86,,,,,,,4,414,539,,,,,
2230,4279,280,51,1218,438,904,6737,139,44,,1211,,114,,525,6,302,3446,,280,,51,,,390,816,12,203,233,2,788,,116,4782,370,1585,,139,,,,11,33,,,,,,1096,114,1,,,,,,,3,106,5,,,,,
2231,93,318,,143,65,8,3,8,157,,6,,2,,,,,93,,283,35,,,,2,135,6,18,39,8,7,,1,,,3,,8,,,,17,140,,,,,,,6,,,,,,,,,2,,,,,,
2232,457,1430,,2495,3505,418,4378,1055,95,4,436,1,555,12,8,,,449,,1430,,,,,358,2136,1,3125,380,,337,,81,2134,1999,245,,299,,756,,7,88,,,4,,,138,209,89,,,,1,,,12,380,163,,12,,,
2233,,1588,,691,4917,59,70,910,1266,6,468,,688,6,,,,,48,1321,219,,,,633,55,3,4528,375,14,1,,58,25,,45,,327,,580,3,116,1150,,,6,,,9,424,35,,,,,,7,102,201,378,,6,,,
2234,516,537,,459,7732,108,9,188,93,71,385,57,173,1,6,1,,509,32,505,,,,,109,348,2,6993,737,2,55,,53,9,,,,82,,106,,11,82,,,71,,,1,217,167,,52,,5,,32,,112,29,,1,,,
2250,361,2017,,1266,2525,93,4448,1090,9095,43,2596,1125,5411,1343,18,33,14,296,,287,1730,,,,457,46,763,495,1043,987,42,1,50,101,138,4209,,765,3,229,93,3914,5052,129,,,43,,11,1837,748,38,51,852,,184,,1358,1471,2569,13,1286,,57,
2251,192,1607,,2249,2566,405,97,270,3264,1,1000,46,3171,1,,11,84,97,4,1186,417,,,,1548,48,653,934,1278,354,405,,,,,97,,262,,,8,1151,2103,10,,,1,,1,982,17,2,2,42,,,,431,894,1845,1,1,,,
2256,29,78,,2609,173,18,69,365,1387,6,621,561,1985,10,,,20,9,,77,1,,,,280,53,2276,7,163,3,18,,,,,69,,309,,,56,868,510,9,,,6,,,443,178,16,3,528,14,,,557,1018,393,17,10,,,
2257,114,432,,3854,791,136,164,629,3178,9,963,624,3128,2,4,,48,62,,416,16,,,,913,142,2799,81,625,85,136,,,,,164,,555,,,74,1816,1353,9,,,9,,5,667,291,139,1,484,,,,983,1861,263,21,2,,,
2258,,189,,16,584,,,92,592,21,129,2,141,217,,,,,,1,188,,,,5,,11,12,102,470,,,,,,,,29,1,,62,235,301,56,,,21,,,97,32,,,2,,,,66,72,1,2,217,,,
2259,,3217,,2478,1640,1,74,1452,9711,537,1704,1304,3755,788,,,,,,10,3207,,,,44,,2434,8,342,1290,,1,,,,74,,469,369,1,613,2656,3044,4011,,,537,,,1586,118,553,6,585,,160,,1408,1001,1167,179,785,,3,
2260,482,1672,,1637,2922,354,636,349,985,,937,13,725,,14,57,99,312,1,1563,108,,,,1135,114,388,1035,1569,318,332,,22,,,636,,337,,,12,221,762,2,,,,,184,738,15,,,13,,,,85,359,278,3,,,,
2261,20,564,,2955,1202,96,1240,893,8962,78,1142,2412,4913,3,,,6,14,,184,380,,,,269,15,2671,99,637,466,96,,,,,1240,,442,25,,426,3747,4199,1016,,,78,,,1062,80,257,2,1828,34,291,,1966,1668,1162,117,3,,,
2262,,145,,476,28,,,1648,3390,594,85,468,1741,5,,,,,,,145,,,,,,476,,22,6,,,,,,,,55,1429,,164,974,642,1774,,,594,,,85,,410,6,52,,,,778,431,419,113,5,,,
2263,2,24,,1190,112,,5,585,3340,237,211,2262,3074,8,,,,2,,10,14,,,,93,1,1096,,111,1,,,,,,5,,121,48,,416,997,551,1792,,,237,,,202,9,1176,,1086,,,,1071,894,577,532,8,,,
2264,1,3,,1847,178,,,440,2348,31,298,90,2023,331,,,1,,,3,,,,,21,,1826,,89,89,,,,,,,,95,4,,341,699,164,1485,,,31,,,298,,52,,38,,,,776,485,690,72,331,,,
2265,,68,,196,229,,,198,1049,16,767,13,627,307,,,,,,,68,,,,4,,192,,29,200,,,,,,,,42,1,,155,212,111,726,,,16,,,767,,13,,,,,,87,54,477,9,307,,,
2267,,,,675,10,,,82,229,6,10,37,320,,,,,,,,,,,,,,675,,10,,,,,,,,,18,,,64,68,20,141,,,6,,,10,,32,,5,,,,160,138,5,17,,,,
2278,,23,,4,22,,,66,519,60,34,26,109,62,,,,,,,23,,,,,,4,,8,14,,,,,,,,2,55,,9,75,118,326,,,60,,,33,1,26,,,,,,82,19,,8,60,,2,
2280,14,502,,1979,731,12,185,462,3812,19,572,619,2467,2,1,,,13,1,211,290,,,,663,,1316,195,455,81,12,,,,,185,,175,,,287,972,1655,1185,,,19,,,570,2,134,,483,,2,,1273,882,220,92,2,,,
2281,1,76,,2065,311,1,73,302,1419,12,779,190,1786,27,,,,1,,64,12,,,,314,,1751,10,297,4,1,,,,,73,,157,,,145,392,565,462,,,8,4,,777,2,68,,122,,,,772,600,364,50,27,,,
2282,6,413,4,1724,639,12,347,250,1801,,336,8,1183,4,1,,,5,,283,130,,,4,740,,984,175,448,16,12,,,,,347,,139,,,111,518,1000,283,,,,,,332,4,2,,6,,,,526,549,100,8,4,,,
2283,2,60,,2977,290,3,153,402,3055,60,300,880,2284,38,,,,2,,31,29,,,,294,,2683,,226,64,3,,,,,153,,96,7,,299,706,550,1799,,,60,,,298,2,463,,211,,206,,991,702,193,398,37,,1,
2284,1,64,,1036,125,1,31,479,1498,101,593,241,1319,18,,1,,,,41,23,,,,216,,820,1,118,6,1,,,,,31,,100,18,,361,570,274,654,,,101,,,522,71,212,,29,,,,446,573,114,186,18,,,
2285,,2071,,123,176,362,13,737,5305,164,1461,697,2616,219,,,,,,52,2019,,,,66,,57,6,123,47,,362,,,,13,,147,37,,553,1887,1646,1772,,,164,,,1365,96,409,,214,,74,,1447,669,254,246,219,,,
2286,,29,,269,9,,,89,832,70,184,38,251,25,,,,,,,29,,,,,,269,,4,5,,,,,,,,14,7,,68,160,41,631,,,70,,,184,,38,,,,,,141,38,49,23,25,,,
2287,,1883,,292,343,72,46,1494,5058,133,2467,503,3830,24,,,,,30,51,1802,,,,224,,68,111,218,14,,72,,,,34,12,416,3,,1075,1831,1278,1949,,,133,,,1422,1045,214,,289,,,,2387,930,312,201,24,,,
2289,,833,,824,261,12,294,507,3042,,1063,10,1393,2,,,,,55,703,75,,,,813,2,9,11,241,9,4,,8,,,294,,404,,,103,1380,1520,142,,,,,,599,464,2,,8,,,,827,505,60,1,2,,,
2290,9,840,,875,626,15,318,1115,5108,39,1398,600,3849,6,,1,,8,39,618,183,,,,568,,307,120,459,47,,,15,,,318,,598,39,,478,1983,2145,980,,,39,,,1045,353,157,,358,,85,,1810,1108,781,150,6,,,
2291,622,753,,821,379,1387,567,92,148,,955,167,271,,64,280,51,227,,753,,,,,771,42,8,65,313,1,521,,866,6,,561,,87,,,5,46,102,,,,,,765,89,101,,,,167,,,50,221,,,,,,
2292,,23,,24,5,29,108,171,279,,445,9,268,,,,,,,21,2,,,,15,,9,,5,,3,,26,,,108,,121,,,50,195,78,6,,,,,7,40,398,2,,7,,,,127,141,,,,,,
2293,,23,,29,,294,1048,32,126,,495,,116,,,,,,,23,,,,,14,,15,,,,,,294,157,,891,,28,,,4,105,21,,,,,,249,10,236,,,,,,,48,66,2,,,,,
2294,,2,,51,,207,167,79,8,,376,2,182,,,,,,,2,,,,,5,,46,,,,3,,204,,,167,,73,,,6,1,7,,,,,,32,13,331,,,2,,,,66,116,,,,,,
2295,,88,,1610,33,10,97,176,363,,147,62,963,6,,,,,,39,49,,,,49,,1561,,33,,4,,6,,,97,,128,,,48,160,140,63,,,,,3,115,29,2,,60,,,,198,228,531,6,6,,,
2296,,,,3,,231,187,49,4,,578,1,80,,,,,,,,,,,,3,,,,,,1,,230,,,187,,38,,,11,,4,,,,,,118,2,458,1,,,,,,19,61,,,,,,
2297,,17,,16,3,42,50,69,180,,348,4,114,,,,,,,16,1,,,,3,1,12,,3,,3,,39,,,50,,58,,,11,126,53,1,,,,,53,10,285,,,4,,,,60,54,,,,,,
2298,,25,,44,7,28,101,445,838,,1273,378,1111,,,,,,,19,6,,,,25,,19,,7,,,,28,,,101,,218,,,227,569,205,64,,,,,,93,1180,7,,371,,,,714,361,26,10,,,,
2299,,130,,150,74,2,50,615,1198,5,1179,529,1177,1,,,,,,108,22,,,,135,,15,26,48,,1,,1,,,37,13,294,,55,266,710,376,112,,,5,,,156,1023,8,2,435,84,,,725,430,,22,1,,,
2300,162,31,525,224,43,1744,3610,50,3,,1652,73,132,,25,103,19,15,,31,,,61,464,36,14,174,,43,,236,,1508,615,,2995,,45,,,5,1,2,,,,,,1634,9,9,,,4,69,,,16,115,1,,,,,
2302,,,,3,,8,1107,1,5,,1,1,,,,,,,,,,,,,,,3,,,,2,,6,141,,966,,1,,,,5,,,,,,,1,,,,,1,,,,,,,,,,,
2303,154,375,,690,89,592,1221,229,44,,1017,848,645,,1,131,,22,,375,,,,,640,11,39,7,82,,191,,401,11,6,1204,,206,,1,22,23,20,1,,,,,402,34,581,,,57,728,63,,117,421,107,,,,,
2304,,27,,250,20,14,169,1056,1329,4,2466,300,1751,16,,,,,,6,21,,,,11,,239,,20,,,,14,,,169,,483,,,573,871,248,210,,,2,2,4,130,2332,18,,282,,,,913,679,123,36,14,,2,
2305,205,572,,609,230,26,105,410,1499,,578,52,1174,,,204,,1,,532,40,,,,585,,24,39,185,6,26,,,,,105,,302,,,108,766,708,25,,,,,,323,255,1,,51,,,,557,570,39,8,,,,
2306,,,,2,,,,57,174,5,4,1114,186,,,,,,,,,,,,,,2,,,,,,,,,,,3,24,,30,72,7,95,,,5,,,3,1,70,,124,,920,,18,77,,91,,,,
2307,,3,,56,5,24,5,217,477,41,435,141,702,5,,,,,,1,2,,,,,,56,,,5,,,24,,,5,,58,2,,157,196,37,244,,,41,,,9,426,83,,58,,,,216,180,179,127,5,,,
2308,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2311,,,,,,,,1,5,,,22,1,327,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,22,,,,,,,,,1,253,35,36,3
2312,,,,4,,,,16,104,2,,98,22,528,,,,,,,,,,,,,4,,,,,,,,,,,,,,16,1,,103,,,1,1,,,,98,,,,,,1,2,,19,478,,50,
2315,,12,,6092,67,,843,198,876,2,38,120,976,15,,,,,,,12,,,,18,,6074,,67,,,,,,,843,,57,,,141,159,79,638,,,,2,,37,1,17,,103,,,,254,303,408,11,13,,2,
2316,,,,1063,99,4,4,151,880,1,45,39,617,611,,,,,,,,,,,3,,1060,,39,60,,4,,,,4,,14,1,,136,159,81,640,,,1,,,45,,30,,9,,,,109,105,397,6,609,,2,
2317,,,,2355,8,,58,136,413,,12,42,702,5,,,,,,,,,,,,,2355,,8,,,,,,,58,,20,,,116,76,20,317,,,,,,12,,17,,25,,,,85,166,431,20,5,,,
2318,,943,,284,908,,,360,1101,19,210,64,355,1198,,,,,,,943,,,,1,,283,,37,871,,,,,,,,5,276,,79,148,152,801,,,18,1,,210,,64,,,,,,78,63,180,34,1170,,28,
